  carregado 300
  carregado 600
  carregado 900
n=895

dilX dilY corta folga |  x<=3px  x<=8px |  y<=3px  y<=8px | nb=nt x nb=nt y
   4    1     3     6 | 96.65% 99.44% | 97.65% 97.77% | 42.91% 48.04%
   4    1     3    12 | 98.77% 99.66% | 92.63% 92.74% | 42.91% 45.47%
   4    1     4     0 | 88.83% 98.55% | 99.66% 99.89% | 48.04% 51.17%
   4    1     4     6 | 96.31% 99.55% | 99.55% 99.66% | 48.27% 51.17%
   4    1     4    12 | 98.88% 99.78% | 95.08% 95.20% | 48.27% 48.60%
   4    1     5     0 | 88.27% 98.66% | 99.78% 100.00% | 53.41% 53.63%
   4    1     5     6 | 96.31% 99.66% | 99.66% 99.78% | 53.74% 53.63%
   4    1     5    12 | 98.99% 99.89% | 96.42% 96.54% | 53.74% 51.73%
   4    1     6     0 | 87.37% 98.66% | 99.78% 100.00% | 55.75% 54.41%
   4    1     6     6 | 95.98% 99.66% | 99.66% 99.78% | 56.09% 54.41%
   4    1     6    12 | 98.99% 99.89% | 97.09% 97.21% | 56.09% 52.96%
   4    2     0     0 | 82.68% 89.27% | 75.42% 75.53% | 26.59% 35.75%
   4    2     0     6 | 87.15% 89.61% | 73.18% 73.41% | 26.70% 34.64%
   4    2     0    12 | 88.38% 89.72% | 67.26% 67.49% | 26.70% 31.40%
   4    2     3     0 | 89.16% 98.32% | 98.77% 98.77% | 45.47% 51.40%
   4    2     3     6 | 96.31% 99.44% | 97.77% 97.77% | 45.59% 50.61%
   4    2     3    12 | 98.77% 99.66% | 92.74% 92.74% | 45.59% 47.82%
   4    2     4     0 | 88.38% 98.44% | 99.78% 99.89% | 49.83% 53.63%
   4    2     4     6 | 96.20% 99.55% | 99.66% 99.66% | 50.06% 53.52%
   4    2     4    12 | 98.88% 99.78% | 95.20% 95.20% | 50.06% 50.84%
   4    2     5     0 | 87.93% 98.55% | 99.89% 100.00% | 54.53% 55.98%
   4    2     5     6 | 96.20% 99.66% | 99.78% 99.78% | 54.75% 55.87%
   4    2     5    12 | 98.99% 99.89% | 96.54% 96.54% | 54.75% 53.85%
   4    2     6     0 | 87.04% 98.55% | 99.89% 100.00% | 56.42% 56.54%
   4    2     6     6 | 95.87% 99.66% | 99.78% 99.78% | 56.65% 56.42%
